JAM,AWARD,WINNER,ASSET,THEME
December 2023,Best Use of Theme,sean_aiff>>>https://sean-aiff.itch.io/&&&Ashton>>>https://ashmusie.itch.io/,Amongst The Stars>>>https://sean-aiff.itch.io/floating-amongst-the-stars&&&The Triplet Stars>>>https://ashmusie.itch.io/ashton-musielewicz-the-triplet-stars,Stars
December 2023,Most Creative,Sullus>>>https://sullus.itch.io/,Magical Transformation>>>https://sullus.itch.io/magical-transformation,Stars
December 2023,Best In Show,Sullus>>>https://sullus.itch.io/,Magical Transformation>>>https://sullus.itch.io/magical-transformation,Stars
November 2023,Best Use of Theme,Gavin Hefty>>>https://incarnaation9.itch.io/,Glass Earring>>>https://incarnaation9.itch.io/glass-earring,Glass
November 2023,Most Creative,escaliburn>>>https://escaliburn.itch.io/,Haunted Mirror>>>https://escaliburn.itch.io/jama-jam-november-2023-haunted-mirror,Glass
November 2023,Best In Show,Lou>>>https://loomy.itch.io/,Frosted Glass Window>>>https://loomy.itch.io/jamajam-frosted-glass,Glass
October 2023,Best Use of Theme,Lou>>>https://loomy.itch.io/&&&Jonathan Gilleland>>>https://jongilleland.itch.io/,Stylized Purple Hat>>>https://loomy.itch.io/jamajam-wizard-oct23&&&Wizard Tower>>>https://jongilleland.itch.io/jonathan-gilleland-wizard-tower,Wizards
October 2023,Most Creative,betwizer>>>https://betwixer.itch.io/,Musclemancer>>>https://betwixer.itch.io/musclemancer,Wizards
October 2023,Best In Show,CharlesHeikkila>>>https://charlesheikkila.itch.io/,RPG Dad>>>https://charlesheikkila.itch.io/rpg-dad,Wizards
September 2023,Best Use of Theme,escaliburn>>>https://escaliburn.itch.io/,Autism Masks>>>https://escaliburn.itch.io/autism-masks,Mask
September 2023,Most Creative,Canslp>>>https://canslp.itch.io/,The Master Of Disguise>>>https://canslp.itch.io/the-master-of-disguise,Mask
September 2023,Best In Show,Canslp>>>https://canslp.itch.io/&&&Skrimbus>>>https://skrimbus.itch.io/,The Master Of Disguise>>>https://canslp.itch.io/the-master-of-disguise&&&Sillyman>>>https://skrimbus.itch.io/sillyman,Mask
August 2023,Best Use of Theme,,,Youth
August 2023,Most Creative,,,Youth
August 2023,Best In Show,,,Youth
